id,neighbourhood_group,neighbourhood,latitude,longitude,2019price,year
2539,Brooklyn,Kensington,40.64749,-73.97237,149,2019
2595,Manhattan,Midtown,40.75362,-73.98377,225,2019
3647,Manhattan,Harlem,40.80902,-73.9419,150,2019
3831,Brooklyn,Clinton Hill,40.68514,-73.95976,89,2019
5022,Manhattan,East Harlem,40.79851,-73.94399,80,2019
5099,Manhattan,Murray Hill,40.74767,-73.975,200,2019
5121,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,60,2019
5178,Manhattan,Hell's Kitchen,40.76489,-73.98493,79,2019
5203,Manhattan,Upper West Side,40.80178,-73.96723,79,2019
5238,Manhattan,Chinatown,40.71344,-73.99037,150,2019
5295,Manhattan,Upper West Side,40.80316,-73.96545,135,2019
5441,Manhattan,Hell's Kitchen,40.76076,-73.98867,85,2019
5803,Brooklyn,South Slope,40.66829,-73.98779,89,2019
6021,Manhattan,Upper West Side,40.79826,-73.96113,85,2019
6090,Manhattan,West Village,40.7353,-74.00525,120,2019
6848,Brooklyn,Williamsburg,40.70837,-73.95352,140,2019
7097,Brooklyn,Fort Greene,40.69169,-73.97185,215,2019
7322,Manhattan,Chelsea,40.74192,-73.99501,140,2019
7726,Brooklyn,Crown Heights,40.67592,-73.94694,99,2019
7750,Manhattan,East Harlem,40.79685,-73.94872,190,2019
7801,Brooklyn,Williamsburg,40.71842,-73.95718,299,2019
8024,Brooklyn,Park Slope,40.68069,-73.97706,130,2019
8025,Brooklyn,Park Slope,40.67989,-73.97798,80,2019
8110,Brooklyn,Park Slope,40.68001,-73.97865,110,2019
8490,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,120,2019
8505,Brooklyn,Windsor Terrace,40.65599,-73.97519,60,2019
8700,Manhattan,Inwood,40.86754,-73.92639,80,2019
9357,Manhattan,Hell's Kitchen,40.76715,-73.98533,150,2019
9518,Manhattan,Inwood,40.86482,-73.92106,44,2019
9657,Manhattan,East Village,40.7292,-73.98542,180,2019
9668,Manhattan,Harlem,40.82245,-73.95104,50,2019
9704,Manhattan,Harlem,40.81305,-73.95466,52,2019
9782,Brooklyn,Greenpoint,40.72219,-73.93762,55,2019
9783,Manhattan,Harlem,40.8213,-73.95318,50,2019
10452,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,70,2019
10962,Brooklyn,South Slope,40.66869,-73.9878,89,2019
11452,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,35,2019
11708,Brooklyn,Bushwick,40.70186,-73.92745,85,2019
11943,Brooklyn,Flatbush,40.63702,-73.96327,150,2019
12048,Manhattan,Lower East Side,40.71401,-73.98917,40,2019
12192,Manhattan,East Village,40.7229,-73.98199,68,2019
12299,Brooklyn,South Slope,40.66278,-73.97966,120,2019
12303,Brooklyn,Fort Greene,40.69673,-73.97584,120,2019
12318,Manhattan,Upper West Side,40.79009,-73.97927,135,2019
12343,Manhattan,Harlem,40.81175,-73.94478,150,2019
12627,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,150,2019
12937,Queens,Long Island City,40.74771,-73.9474,130,2019
12940,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,110,2019
13050,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,115,2019
13394,Brooklyn,Fort Greene,40.69142,-73.97376,80,2019
13808,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,80,2019
14287,Manhattan,Upper West Side,40.78635,-73.97008,151,2019
14290,Brooklyn,Williamsburg,40.7042,-73.9356,228,2019
14314,Brooklyn,Greenpoint,40.73506,-73.95392,144,2019
14322,Manhattan,Kips Bay,40.73961,-73.98074,200,2019
14377,Brooklyn,Williamsburg,40.70881,-73.9593,150,2019
14991,Manhattan,Lower East Side,40.72004,-73.99104,110,2019
15220,Manhattan,Hell's Kitchen,40.75531,-73.99293,69,2019
15338,Brooklyn,Greenpoint,40.72401,-73.93788,49,2019
15341,Manhattan,SoHo,40.7221,-73.99775,180,2019
15385,Brooklyn,Williamsburg,40.71185,-73.96204,80,2019
15396,Manhattan,Chelsea,40.74623,-73.9953,375,2019
15711,Manhattan,Upper East Side,40.77065,-73.95269,250,2019
16326,Brooklyn,Prospect Heights,40.67811,-73.96428,200,2019
16338,Brooklyn,Clinton Hill,40.69,-73.96788,55,2019
16421,Manhattan,Hell's Kitchen,40.75979,-73.99119,52,2019
16458,Brooklyn,Park Slope,40.67343,-73.98338,225,2019
16580,Manhattan,East Village,40.72649,-73.97904,80,2019
16595,Brooklyn,Williamsburg,40.70933,-73.96792,275,2019
16821,Manhattan,East Village,40.72298,-73.98474,99,2019
16974,Manhattan,East Harlem,40.80164,-73.93922,225,2019
17037,Manhattan,East Village,40.72162,-73.98008,230,2019
17092,Manhattan,Hell's Kitchen,40.76342,-73.98865,51,2019
17693,Manhattan,Washington Heights,40.83139,-73.94095,65,2019
17747,Brooklyn,Clinton Hill,40.68346,-73.96374,105,2019
18127,Manhattan,East Village,40.72828,-73.98801,190,2019
18152,Manhattan,Upper East Side,40.76865,-73.95058,200,2019
18198,Queens,Woodside,40.75038,-73.90334,70,2019
18590,Brooklyn,Fort Greene,40.6932,-73.97267,95,2019
18728,Manhattan,Chelsea,40.74138,-74.00197,150,2019
18764,Brooklyn,Williamsburg,40.71154,-73.96112,145,2019
19159,Manhattan,Harlem,40.82915,-73.95136,110,2019
19169,Manhattan,Lower East Side,40.71851,-73.98892,285,2019
19282,Brooklyn,Flatbush,40.65401,-73.96323,130,2019
19319,Manhattan,Lower East Side,40.7114,-73.98794,94,2019
19601,Brooklyn,Brooklyn Heights,40.69723,-73.99268,800,2019
19812,Brooklyn,Williamsburg,40.71833,-73.95748,105,2019
20299,Manhattan,East Village,40.72334,-73.9844,60,2019
20300,Manhattan,East Village,40.72912,-73.98057,50,2019
20611,Brooklyn,Williamsburg,40.71156,-73.96218,85,2019
20724,Brooklyn,Bushwick,40.70032,-73.9383,65,2019
20734,Brooklyn,Prospect Heights,40.68233,-73.97261,131,2019
20755,Brooklyn,Clinton Hill,40.68634,-73.966,98,2019
20853,Brooklyn,Prospect Heights,40.68035,-73.97162,250,2019
20913,Brooklyn,Williamsburg,40.70984,-73.95775,100,2019
21293,Brooklyn,Bushwick,40.70093,-73.92609,105,2019
21456,Manhattan,Upper West Side,40.79764,-73.96177,140,2019
21644,Manhattan,Harlem,40.82803,-73.94731,89,2019
