id,neighbourhood,latitude,longitude,room_type,price,year
2595,Midtown,40.75356,-73.98559,Entire home/apt,150,2021
3831,Bedford-Stuyvesant,40.68494,-73.95765,Entire home/apt,76,2021
5121,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,2021
5136,Sunset Park,40.66265,-73.99454,Entire home/apt,275,2021
5178,Midtown,40.76457,-73.98317,Private room,68,2021
5203,Upper West Side,40.8038,-73.96751,Private room,75,2021
5803,South Slope,40.66801,-73.98784,Private room,98,2021
6848,Williamsburg,40.70935,-73.95342,Entire home/apt,89,2021
6872,East Harlem,40.80107,-73.94255,Private room,65,2021
6990,East Harlem,40.78778,-73.94759,Private room,62,2021
7064,Williamsburg,40.71248,-73.95881,Private room,90,2021
7097,Fort Greene,40.69121,-73.97277,Entire home/apt,199,2021
7750,East Harlem,40.79607,-73.94949,Private room,96,2021
7801,Williamsburg,40.71778,-73.9568,Entire home/apt,299,2021
8490,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,135,2021
9357,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,150,2021
9657,East Village,40.72712,-73.98598,Entire home/apt,178,2021
9704,Harlem,40.81317,-73.95465,Private room,55,2021
10452,Bedford-Stuyvesant,40.68294,-73.95682,Private room,80,2021
10962,South Slope,40.66692,-73.98981,Private room,98,2021
11943,Flatbush,40.63702,-73.96327,Private room,150,2021
12192,East Village,40.72296,-73.98383,Private room,40,2021
12343,Harlem,40.8114,-73.94296,Entire home/apt,250,2021
12937,Long Island City,40.74757,-73.94571,Private room,145,2021
12940,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,99,2021
13121,Jamaica,40.67144,-73.76501,Private room,75,2021
13394,Fort Greene,40.69222,-73.97336,Private room,80,2021
13808,Bedford-Stuyvesant,40.68064,-73.94039,Private room,80,2021
14290,Williamsburg,40.70348,-73.93621,Entire home/apt,233,2021
14314,Greenpoint,40.73535,-73.95584,Entire home/apt,99,2021
15220,Hell's Kitchen,40.75611,-73.99523,Private room,80,2021
15341,Nolita,40.72297,-73.99684,Entire home/apt,194,2021
15385,Williamsburg,40.71211,-73.96397,Private room,80,2021
15396,Chelsea,40.74493,-73.99521,Entire home/apt,400,2021
15711,Upper East Side,40.77119,-73.95241,Entire home/apt,206,2021
16326,Prospect Heights,40.67839,-73.96642,Entire home/apt,140,2021
16338,Clinton Hill,40.69121,-73.96804,Private room,55,2021
16595,Williamsburg,40.7092,-73.96641,Entire home/apt,414,2021
16821,East Village,40.72281,-73.98501,Private room,108,2021
16974,East Harlem,40.8019,-73.93762,Entire home/apt,300,2021
17037,East Village,40.72289,-73.98028,Entire home/apt,190,2021
17693,Washington Heights,40.83253,-73.94108,Private room,65,2021
17747,Clinton Hill,40.68503,-73.96555,Private room,95,2021
18127,East Village,40.72862,-73.98748,Entire home/apt,190,2021
18728,Chelsea,40.74261,-74.00353,Private room,175,2021
18961,Kips Bay,40.73808,-73.98001,Private room,95,2021
19159,Harlem,40.82817,-73.95133,Entire home/apt,110,2021
19282,Flatbush,40.65437,-73.96278,Private room,110,2021
19812,Williamsburg,40.71802,-73.95724,Entire home/apt,105,2021
20717,Prospect Heights,40.6771,-73.97231,Private room,85,2021
20724,Bushwick,40.69891,-73.93809,Private room,50,2021
20913,Williamsburg,40.70967,-73.95922,Entire home/apt,80,2021
21456,Upper West Side,40.79936,-73.96155,Entire home/apt,100,2021
21644,Harlem,40.82782,-73.9473,Private room,99,2021
21794,Chelsea,40.74187,-74.00223,Private room,85,2021
23135,Carroll Gardens,40.67747,-74.00146,Entire home/apt,180,2021
23686,West Village,40.72961,-74.00308,Entire home/apt,500,2021
24285,Park Slope,40.67115,-73.98026,Entire home/apt,220,2021
25406,Williamsburg,40.71649,-73.94865,Entire home/apt,83,2021
25696,Harlem,40.8104,-73.94309,Private room,100,2021
26362,Hell's Kitchen,40.75603,-73.99294,Private room,79,2021
26785,South Slope,40.6686,-73.98723,Entire home/apt,90,2021
27006,Upper West Side,40.77839,-73.97778,Entire home/apt,225,2021
27644,Harlem,40.82682,-73.94948,Entire home/apt,170,2021
27883,East Village,40.72421,-73.98509,Entire home/apt,100,2021
28321,Prospect-Lefferts Gardens,40.6545,-73.96071,Private room,75,2021
28907,Upper East Side,40.77827,-73.94669,Entire home/apt,150,2021
29013,Bedford-Stuyvesant,40.68288,-73.95646,Private room,80,2021
29628,Clinton Hill,40.68292,-73.96381,Private room,89,2021
29683,Lower East Side,40.72314,-73.99108,Entire home/apt,185,2021
31130,Hell's Kitchen,40.7672,-73.98464,Private room,130,2021
31555,West Village,40.73405,-74.00281,Entire home/apt,135,2021
31902,East Flatbush,40.6327,-73.93184,Private room,80,2021
31994,Clinton Hill,40.68818,-73.96383,Private room,85,2021
32329,East Village,40.72741,-73.98405,Entire home/apt,160,2021
33009,Williamsburg,40.71512,-73.95899,Entire home/apt,195,2021
33014,East Village,40.72367,-73.98139,Entire home/apt,125,2021
33156,Upper West Side,40.78763,-73.96862,Entire home/apt,139,2021
36442,Prospect Heights,40.67447,-73.96619,Entire home/apt,121,2021
36647,East Harlem,40.79128,-73.94125,Private room,59,2021
36703,West Village,40.73271,-74.00367,Entire home/apt,200,2021
38663,Boerum Hill,40.68442,-73.98068,Entire home/apt,675,2021
39282,Williamsburg,40.70978,-73.95165,Private room,83,2021
39572,Hell's Kitchen,40.76203,-73.98869,Private room,139,2021
39586,Upper West Side,40.77952,-73.98749,Private room,186,2021
39593,Sunnyside,40.74523,-73.92318,Private room,78,2021
39704,Bedford-Stuyvesant,40.68216,-73.94594,Entire home/apt,135,2021
42300,Lower East Side,40.71992,-73.99167,Entire home/apt,493,2021
42729,Carroll Gardens,40.67813,-74.00062,Entire home/apt,178,2021
42882,St. George,40.64633,-74.08156,Private room,70,2021
43726,Tribeca,40.721,-74.00971,Entire home/apt,250,2021
44096,Highbridge,40.83225,-73.93092,Private room,45,2021
44229,Fort Greene,40.69287,-73.97108,Private room,110,2021
44288,West Village,40.73737,-74.00437,Entire home/apt,146,2021
44973,Williamsburg,40.70894,-73.95234,Entire home/apt,98,2021
45542,Harlem,40.82569,-73.93842,Entire home/apt,100,2021
45556,Fort Greene,40.68834,-73.97578,Private room,65,2021
45910,Ridgewood,40.70309,-73.89963,Entire home/apt,395,2021
45935,Mott Haven,40.80635,-73.92201,Private room,60,2021
45936,Morningside Heights,40.8063,-73.95985,Private room,75,2021
46544,Park Slope,40.67979,-73.97978,Entire home/apt,150,2021
46911,Prospect Heights,40.68022,-73.97457,Private room,115,2021
47613,Williamsburg,40.7124,-73.94764,Private room,81,2021
49048,Bedford-Stuyvesant,40.6829,-73.95701,Private room,90,2021
50447,Gowanus,40.66913,-73.99041,Entire home/apt,151,2021
51438,Upper East Side,40.77449,-73.95308,Private room,130,2021
51850,Jamaica,40.67144,-73.76501,Private room,65,2021
52689,Ditmars Steinway,40.77868,-73.90652,Entire home/apt,133,2021
53469,Middle Village,40.71567,-73.87842,Entire home/apt,107,2021
53470,Ridgewood,40.70422,-73.89778,Private room,174,2021
53477,Middle Village,40.71778,-73.87714,Entire home/apt,350,2021
54466,Harlem,40.80255,-73.95803,Private room,200,2021
54508,Park Slope,40.67908,-73.97405,Private room,60,2021
54626,Highbridge,40.83231,-73.9305,Private room,50,2021
54694,Jamaica,40.67144,-73.76501,Private room,65,2021
54860,East Harlem,40.79934,-73.94236,Private room,100,2021
55982,Fort Greene,40.68701,-73.97555,Private room,85,2021
56859,Harlem,40.81201,-73.94452,Private room,76,2021
57166,Ditmars Steinway,40.77155,-73.90564,Entire home/apt,156,2021
57297,Brooklyn Heights,40.69003,-73.99338,Entire home/apt,162,2021
57618,Hell's Kitchen,40.76505,-73.98716,Entire home/apt,250,2021
57754,Flatiron District,40.74166,-73.9866,Entire home/apt,285,2021
57874,East Harlem,40.80747,-73.94076,Entire home/apt,160,2021
57901,Upper West Side,40.79693,-73.97246,Private room,45,2021
58059,Harlem,40.8238,-73.94444,Private room,42,2021
58062,Windsor Terrace,40.65912,-73.9842,Private room,139,2021
59014,Lower East Side,40.71946,-73.98641,Entire home/apt,150,2021
59121,Ridgewood,40.70271,-73.8993,Entire home/apt,188,2021
59709,Chinatown,40.7178,-73.9932,Entire home/apt,254,2021
59855,Midtown,40.75853,-73.96892,Entire home/apt,250,2021
60164,Tribeca,40.72012,-74.00397,Entire home/apt,500,2021
60457,Greenwich Village,40.73072,-73.99275,Entire home/apt,250,2021
60611,East Harlem,40.79204,-73.94741,Entire home/apt,70,2021
60666,Harlem,40.81006,-73.94559,Private room,111,2021
60673,Harlem,40.81562,-73.94674,Private room,125,2021
60680,East Village,40.72598,-73.97978,Entire home/apt,135,2021
60794,Upper West Side,40.79918,-73.96248,Entire home/apt,211,2021
61167,Chinatown,40.71799,-73.99648,Entire home/apt,135,2021
61509,Midtown,40.75743,-73.96825,Entire home/apt,110,2021
62427,East Village,40.72825,-73.98959,Entire home/apt,130,2021
62468,Upper West Side,40.79523,-73.9728,Entire home/apt,170,2021
62891,East Village,40.72297,-73.98265,Entire home/apt,120,2021
62903,Chelsea,40.741,-73.99562,Entire home/apt,205,2021
62925,Greenpoint,40.72967,-73.95352,Entire home/apt,285,2021
63588,Clason Point,40.81161,-73.85499,Private room,89,2021
63610,Eastchester,40.881,-73.83511,Entire home/apt,99,2021
63657,Bedford-Stuyvesant,40.68253,-73.94295,Entire home/apt,135,2021
63693,East Village,40.72219,-73.98245,Entire home/apt,223,2021
64000,Williamsburg,40.70705,-73.95489,Private room,49,2021
64015,East Village,40.72863,-73.9842,Entire home/apt,200,2021
64107,Crown Heights,40.67582,-73.94316,Private room,100,2021
64314,Crown Heights,40.67634,-73.95143,Private room,75,2021
64365,Crown Heights,40.67579,-73.95072,Private room,60,2021
64837,East Village,40.72497,-73.98356,Private room,50,2021
65268,Bedford-Stuyvesant,40.68305,-73.95195,Private room,75,2021
65425,Nolita,40.72021,-73.99426,Entire home/apt,313,2021
65615,Williamsburg,40.7106,-73.95178,Entire home/apt,85,2021
65660,Williamsburg,40.70797,-73.94792,Entire home/apt,102,2021
65813,Harlem,40.82899,-73.94345,Private room,75,2021
66008,Carroll Gardens,40.68028,-73.99328,Entire home/apt,190,2021
66251,East Village,40.72547,-73.98619,Entire home/apt,360,2021
66275,Nolita,40.72036,-73.99435,Entire home/apt,542,2021
66718,Harlem,40.81263,-73.95214,Entire home/apt,76,2021
66741,Park Slope,40.67548,-73.98315,Entire home/apt,126,2021
66974,Gowanus,40.68088,-73.99102,Entire home/apt,190,2021
67288,East Harlem,40.79544,-73.94836,Entire home/apt,115,2021
67299,Williamsburg,40.71516,-73.96448,Entire home/apt,85,2021
67397,Harlem,40.80332,-73.95741,Private room,122,2021
68253,Astoria,40.76336,-73.92099,Private room,55,2021
68735,Upper West Side,40.78846,-73.97459,Entire home/apt,199,2021
68900,Greenpoint,40.73094,-73.95484,Private room,90,2021
68974,Nolita,40.72,-73.99487,Entire home/apt,624,2021
69894,Upper West Side,40.77845,-73.98295,Entire home/apt,150,2021
69921,Bushwick,40.70494,-73.91982,Private room,100,2021
71248,Chinatown,40.7159,-73.99156,Entire home/apt,137,2021
71366,Greenwich Village,40.72997,-74.00196,Entire home/apt,200,2021
71384,Greenpoint,40.72919,-73.95588,Entire home/apt,229,2021
71812,Kingsbridge,40.87069,-73.90113,Entire home/apt,90,2021
72190,Upper West Side,40.77743,-73.97691,Entire home/apt,110,2021
74240,Williamsburg,40.71976,-73.96012,Entire home/apt,221,2021
74333,East Harlem,40.80834,-73.94075,Entire home/apt,75,2021
74438,Hell's Kitchen,40.75523,-73.99792,Entire home/apt,299,2021
74680,Astoria,40.77507,-73.93367,Entire home/apt,119,2021
74821,Harlem,40.80874,-73.94926,Entire home/apt,149,2021
74860,Greenpoint,40.72364,-73.95013,Entire home/apt,75,2021
75635,Lower East Side,40.71911,-73.98588,Entire home/apt,150,2021
77517,Williamsburg,40.71407,-73.96657,Private room,100,2021
77765,Greenpoint,40.73777,-73.95366,Hotel room,278,2021
80493,East Village,40.72322,-73.98615,Private room,55,2021
80684,Greenpoint,40.73756,-73.9535,Hotel room,349,2021
80700,Greenpoint,40.73777,-73.95366,Private room,349,2021
80924,Park Slope,40.67407,-73.98105,Entire home/apt,69,2021
81739,Greenpoint,40.73777,-73.95366,Private room,349,2021
82549,Brooklyn Heights,40.69418,-73.99775,Private room,100,2021
82550,Brooklyn Heights,40.69246,-73.99828,Entire home/apt,200,2021
82928,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,150,2021
83243,Bushwick,40.68769,-73.91788,Entire home/apt,75,2021
83446,Fort Greene,40.68871,-73.97322,Entire home/apt,150,2021
83847,East Village,40.7245,-73.97946,Entire home/apt,229,2021
84010,Greenpoint,40.73777,-73.95366,Hotel room,179,2021
89205,East Village,40.72626,-73.98408,Entire home/apt,120,2021
89621,Crown Heights,40.67823,-73.94719,Entire home/apt,150,2021
93313,Bedford-Stuyvesant,40.68413,-73.93817,Entire home/apt,131,2021
94035,Astoria,40.75977,-73.90991,Private room,76,2021
94209,Crown Heights,40.67654,-73.94629,Entire home/apt,103,2021
94477,Bedford-Stuyvesant,40.69157,-73.93257,Entire home/apt,127,2021
94783,Crown Heights,40.6736,-73.9551,Entire home/apt,135,2021
95747,Williamsburg,40.71167,-73.94932,Entire home/apt,140,2021
95883,Bedford-Stuyvesant,40.69304,-73.95417,Entire home/apt,200,2021
98663,Chelsea,40.75077,-73.99657,Entire home/apt,130,2021
99085,Fort Greene,40.6867,-73.97469,Entire home/apt,123,2021
99662,Lower East Side,40.72015,-73.99104,Entire home/apt,135,2021
