id,host_neighbourhood,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,state,zipcode,market,smart_location,latitude,longitude,price
958,Duboce Triangle,"San Francisco, CA, United States",Lower Haight,Western Addition,,CA,94117,San Francisco,"San Francisco, CA",37.76931,-122.43386,170.00
5858,Bernal Heights,"San Francisco, CA, United States",Bernal Heights,Bernal Heights,,CA,94110,San Francisco,"San Francisco, CA",37.74511,-122.42102,235.00
7918,Cole Valley,"San Francisco, CA, United States",Cole Valley,Haight Ashbury,,CA,94117,San Francisco,"San Francisco, CA",37.76669,-122.4525,65.00
8142,Cole Valley,"San Francisco, CA, United States",Cole Valley,Haight Ashbury,,CA,94117,San Francisco,"San Francisco, CA",37.76487,-122.45183,65.00
8339,Alamo Square,"San Francisco, CA, United States",Alamo Square,Western Addition,,CA,94117,San Francisco,"San Francisco, CA",37.77525,-122.43637,685.00
8567,Western Addition/NOPA,"San Francisco, CA, United States",Western Addition/NOPA,Western Addition,,CA,94115,San Francisco,"San Francisco, CA",37.78471,-122.44555,255.00
8739,Mission District,"San Francisco, CA, United States",Mission District,Mission,,CA,94110,San Francisco,"San Francisco, CA",37.75919,-122.42237,139.00
9225,Potrero Hill,"San Francisco, CA, United States",Potrero Hill,Potrero Hill,,CA,94107,San Francisco,"San Francisco, CA",37.76259,-122.40543,135.00
10251,Mission District,"San Francisco, CA, United States",Mission District,Mission,,CA,94110,San Francisco,"San Francisco, CA",37.75874,-122.41327,265.00
10820,Lower Haight,"San Francisco, CA, United States",Lower Haight,Haight Ashbury,,CA,94117,San Francisco,"San Francisco, CA",37.77187,-122.43859,177.00
10824,Lower Haight,"San Francisco, CA, United States",Hayes Valley,Western Addition,,CA,94102,San Francisco,"San Francisco, CA",37.77355,-122.42436,194.00
10832,Lower Haight,"San Francisco, CA, United States",Union Square,Downtown/Civic Center,,CA,94102,San Francisco,"San Francisco, CA",37.78574,-122.40798,139.00
12041,Cole Valley,"San Francisco, CA, United States",Haight-Ashbury,Haight Ashbury,,CA,94117,San Francisco,"San Francisco, CA",37.77019,-122.44594,85.00
12042,Cole Valley,"San Francisco, CA, United States",Haight-Ashbury,Haight Ashbury,,CA,94117,San Francisco,"San Francisco, CA",37.76894,-122.44778,85.00
12522,The Castro,"San Francisco, CA, United States",The Castro,Castro/Upper Market,,CA,94114,San Francisco,"San Francisco, CA",37.76075,-122.43032,79.00
