id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,,Western Addition,37.77028,-122.43317,Entire home/apt,161
5858,Creative Sanctuary,8904,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235
7918,A Friendly Room - UCSF/USF - San Francisco,21994,,Haight Ashbury,37.76555,-122.45213,Private room,56
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,,Haight Ashbury,37.76555,-122.45213,Private room,56
8339,Historic Alamo Square Victorian,24215,,Western Addition,37.77564,-122.43642,Entire home/apt,895
8739,"Mission Sunshine, with Private Bath",7149,,Mission,37.7603,-122.42197,Private room,169
10251,Victorian Suite in Inner Mission,35199,,Mission,37.75831,-122.41386,Entire home/apt,150
10578,Classic Nob Hill Studio - Roof Deck,37049,,Nob Hill,37.79249,-122.41499,Entire home/apt,120
10820,Haight Buena Vista Park Garden 3BR,38836,,Haight Ashbury,37.77025,-122.43836,Entire home/apt,170
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,,Western Addition,37.77424,-122.42441,Entire home/apt,166
10832,Union Square Modern Loft,38836,,Downtown/Civic Center,37.78527,-122.40861,Entire home/apt,116
11490,Cozy Nob Hill Nook 2BR 1BA mo rental w parking,42681,,Nob Hill,37.7914,-122.41149,Entire home/apt,135
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,,Haight Ashbury,37.76901,-122.44701,Private room,65
12042,Sunny/Sunset view room UCSF/USF - San Francisco,21994,,Haight Ashbury,37.76932,-122.44723,Private room,65
12522,Perfectly located Castro,18431,,Castro/Upper Market,37.76237,-122.42992,Private room,79
18231,Loft-like Apt./Garden (monthly only available),70224,,Noe Valley,37.74916,-122.42971,Entire home/apt,84
18904,Lower Haight Urban Zen With Private Bath,72464,,Western Addition,37.77247,-122.43301,Private room,110
21334,Studio loft on top of Russian Hill,81455,,Nob Hill,37.7962,-122.41562,Entire home/apt,130
23630,Castro Guest Suite With Continental Breakfast,93257,,Castro/Upper Market,37.75818,-122.44153,Entire home/apt,155
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",99128,,Potrero Hill,37.75565,-122.40125,Private room,154
24723,Guest Suite in PacHeights,100800,,Pacific Heights,37.78897,-122.43376,Entire home/apt,189
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,,Glen Park,37.74159,-122.43159,Private room,160
27025,Modernized Edwardian Apartment in the Castro/Eureka Valley,115673,,Castro/Upper Market,37.76096,-122.43155,Entire home/apt,119
27028,Secret Mission Garden,7149,,Mission,37.76005,-122.42208,Private room,180
29373,Sunny house with garden,126263,,Bernal Heights,37.73871,-122.41167,Entire home/apt,164
29557,gigi's bed and breakfast,126036,,Outer Richmond,37.77885,-122.50534,Entire home/apt,175
32414,"Cozy, Sunny and Private Space",140251,,Bernal Heights,37.74038,-122.41327,Entire home/apt,150
33578,Potrero Hill Garden Lookout,145258,,Potrero Hill,37.76451,-122.39643,Entire home/apt,270
39174,Bette's New Place,127367,,Mission,37.74918,-122.42478,Entire home/apt,107
39418,"Comfortable Home Base, Bernal Heights",169184,,Bernal Heights,37.741,-122.42018,Entire home/apt,73
40092,Cute Private Apt in the hip Mission,172182,,Mission,37.7617,-122.41887,Entire home/apt,107
41055,Quiet Cozy Castro Cottage,178043,,Castro/Upper Market,37.76123,-122.43326,Entire home/apt,163
41172,Sue's Place in Bernal Heights,53314,,Bernal Heights,37.74132,-122.41818,Private room,125
41423,Guest Cottage - SF,180715,,Glen Park,37.7369,-122.43451,Entire home/apt,125
41609,Spacious Quiet SF Downtown Retreat,54299,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,149
42577,Garden View Hideaway - PET FRIENDLY,127367,,Potrero Hill,37.75454,-122.38698,Entire home/apt,150
43732,Argent Alley Panorama,127367,,Twin Peaks,37.75283,-122.44411,Entire home/apt,120
44032,The Mission-100% Private,98733,,Mission,37.75158,-122.41158,Entire home/apt,120
44680,Cute Noe/Mission Apartment,196626,,Mission,37.75131,-122.42167,Entire home/apt,150
47682,One-bedroom apt.  Lafayette Park,216682,,Pacific Heights,37.79186,-122.42429,Entire home/apt,119
51557,Centrally Located Victorian Apartment,237200,,Western Addition,37.7714,-122.42935,Entire home/apt,125
51773,Prime Location - Small Cozy Room,216682,,Pacific Heights,37.79373,-122.42507,Private room,43
53280,Large & sunny room with bath + yard,126263,,Bernal Heights,37.73805,-122.41165,Private room,95
53934,"Urban Rainbow: Artsy, Downtown Condo",252376,,Downtown/Civic Center,37.78786,-122.41618,Entire home/apt,130
54518,Financial District Corporate Condo,255971,,Financial District,37.79337,-122.40198,Entire home/apt,145
54634,Studio Apartment Lafayette Park,216682,,Pacific Heights,37.79352,-122.42649,Entire home/apt,96
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,,Outer Richmond,37.77927,-122.48432,Entire home/apt,125
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,,Twin Peaks,37.74778,-122.44566,Entire home/apt,116
56621,Prime Location - Large Private Room,216682,,Pacific Heights,37.79183,-122.42425,Private room,47
57479,Beautiful Alamo Park flat w deck,210882,,Western Addition,37.77434,-122.4373,Entire home/apt,500
57561,"Bernal Heights Apartment, Patio + Parking",272890,,Bernal Heights,37.74684,-122.41548,Entire home/apt,178
57676,"Bartlett Gardens: Spacious, bright!",142882,,Mission,37.75758,-122.42043,Private room,99
59702,Garden Cottage Charming!,287136,,Bernal Heights,37.74188,-122.4127,Private room,150
59831,Lovely quiet private room in Home,287859,,Outer Sunset,37.75674,-122.49178,Private room,100
60365,Charming Victorian 3-Bedrms-2Baths + Free Parking!,279544,,Western Addition,37.77034,-122.43594,Entire home/apt,450
62519,Lovely Room in Charming Edwardian,304426,,Noe Valley,37.7422,-122.42996,Private room,85
63247,Lovely art suite with parking and yard,290120,,Mission,37.74921,-122.41422,Entire home/apt,164
64165,Great room in a fantastic location!,237691,,Marina,37.80284,-122.42839,Private room,105
66119,Large garden studio  apt. near Golden Gate Park,52862,,Outer Richmond,37.77737,-122.47985,Entire home/apt,90
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,,Mission,37.75393,-122.42505,Entire home/apt,326
69410,Private 1BR Inner Richmond Apt,347624,,Inner Richmond,37.77585,-122.46413,Entire home/apt,80
69681,Panorama Pacific View - Pet Friendly,127367,,Outer Richmond,37.77505,-122.50776,Entire home/apt,185
70139,Noe Valley Eco-Escape +Maid Service,354456,,Bernal Heights,37.74544,-122.42271,Entire home/apt,110
70753,Single Bed In 8 Bed Dorm Room #1,329072,,Financial District,37.7937,-122.40417,Shared room,45
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",367464,,Bernal Heights,37.74409,-122.40846,Entire home/apt,113
71779,スタジオアパート,368770,,Inner Richmond,37.77487,-122.46543,Entire home/apt,80
72365,Large loft studio in the center of SF. F1A,374909,,Western Addition,37.77489,-122.4322,Entire home/apt,90
72444,Single Bed In 8 Bed Dorm Room #2,329072,,Financial District,37.7937,-122.40417,Shared room,45
72921,Wonderful private 1 bedroom apt. F6,374909,,Western Addition,37.77487,-122.43221,Entire home/apt,100
74451,Views of SF from a nice studio F5,374909,,Western Addition,37.77497,-122.4323,Entire home/apt,100
77175,Social Distance Friendly Private Studio,395569,,Glen Park,37.73711,-122.43525,Entire home/apt,129
78651,Heart of the Mission: Hot spot,142882,,Mission,37.75585,-122.42081,Private room,85
80394,Hideaway in the Haight,126930,,Haight Ashbury,37.77065,-122.44433,Entire home/apt,135
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,,Western Addition,37.78408,-122.44436,Entire home/apt,72
83257,Charming Lower Pac Hts Private Room,453743,,Western Addition,37.78353,-122.44369,Private room,90
91957,Sunny SF Flat with 5*s,495796,,Haight Ashbury,37.76114,-122.44929,Entire home/apt,225
96383,Prime Location Bright Private Room,216682,,Pacific Heights,37.79359,-122.42421,Private room,49
99094,Spacious Edwardian Flat SF Mission,522225,,Mission,37.76945,-122.42456,Entire home/apt,249
105497,Private Room in San Francisco!,547669,,Outer Sunset,37.75699,-122.4973,Private room,90
109883,San Francisco Serenity/ lovely home,566147,,West of Twin Peaks,37.73241,-122.46432,Entire home/apt,140
110825,Charming Cottage with Bay View,568933,,Bayview,37.71664,-122.38981,Entire home/apt,120
114401,Room w/ a View in the Castro!,580606,,Castro/Upper Market,37.75939,-122.43051,Private room,115
115242,Telegraph Hill-Full Bay View.Updated 1br++.Parking,582450,,North Beach,37.80599,-122.40943,Entire home/apt,130
121065,Victorian 1BR/1BA in Castro/Duboce,608445,,Western Addition,37.77117,-122.43292,Entire home/apt,110
124011,Golden Gate Park/UCSF Family High-Tech Victorian,617985,,Inner Sunset,37.76317,-122.47029,Entire home/apt,580
128230,Castro Sanctuary,634277,,Castro/Upper Market,37.75737,-122.43566,Entire home/apt,295
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,,Haight Ashbury,37.76555,-122.45213,Private room,56
132441,"Calm, Cool & Collected
on Sunny Bernal Hill",650862,,Bernal Heights,37.73987,-122.4234,Private room,96
138221,Lone Mountain Pied A Terre,674976,,Inner Richmond,37.77664,-122.45586,Entire home/apt,104
138592,Modern Architectural Gem - 4 Bdrm,648553,,Noe Valley,37.75635,-122.42864,Entire home/apt,1250
